code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_submitted,is_banked,score,assessment_type,date,weight,sum_click
AAA,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,18.0,0.0,78.0,TMA,19.0,10.0,934.0
AAA,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,53.0,0.0,85.0,TMA,54.0,20.0,934.0
AAA,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,115.0,0.0,80.0,TMA,117.0,20.0,934.0
AAA,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,164.0,0.0,85.0,TMA,166.0,20.0,934.0
AAA,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,212.0,0.0,82.0,TMA,215.0,30.0,934.0
AAA,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,22.0,0.0,70.0,TMA,19.0,10.0,1435.0
AAA,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,52.0,0.0,68.0,TMA,54.0,20.0,1435.0
AAA,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,121.0,0.0,70.0,TMA,117.0,20.0,1435.0
AAA,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,164.0,0.0,64.0,TMA,166.0,20.0,1435.0
AAA,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,212.0,0.0,60.0,TMA,215.0,30.0,1435.0
AAA,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,17.0,0.0,72.0,TMA,19.0,10.0,2158.0
AAA,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,51.0,0.0,71.0,TMA,54.0,20.0,2158.0
AAA,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,115.0,0.0,74.0,TMA,117.0,20.0,2158.0
AAA,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,165.0,0.0,88.0,TMA,166.0,20.0,2158.0
AAA,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,213.0,0.0,75.0,TMA,215.0,30.0,2158.0
AAA,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,26.0,0.0,69.0,TMA,19.0,10.0,1034.0
