code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_submitted,is_banked,score,assessment_type,date,weight,sum_click
BBB,F,London Region,No Formal quals,50-60%,35-55,0,120,N,Fail,85.0,0.0,78.0,TMA,82.0,18.0,265.0
DDD,F,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,87.0,0.0,32.0,TMA,88.0,17.5,985.0
CCC,M,North Western Region,Lower Than A Level,10-20,0-35,0,80,N,Fail,21.0,0.0,67.0,CMA,18.0,2.0,3753.0
BBB,F,London Region,Lower Than A Level,10-20,35-55,2,120,N,Fail,-1.0,1.0,60.0,CMA,47.0,1.0,1153.0
FFF,M,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,60.0,0.0,76.0,CMA,222.0,0.0,1414.0
FFF,M,Wales,Lower Than A Level,20-30%,0-35,1,60,Y,Fail,236.0,0.0,60.0,CMA,236.0,0.0,868.0
EEE,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,152.0,0.0,51.0,TMA,131.0,28.0,567.0
DDD,F,North Western Region,HE Qualification,60-70%,35-55,2,150,N,Fail,173.0,0.0,28.0,CMA,170.0,3.0,955.0
CCC,M,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,20.0,0.0,20.0,CMA,18.0,2.0,1573.0
CCC,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,32.0,0.0,96.0,TMA,33.0,16.0,1884.0
DDD,F,London Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,81.0,0.0,58.0,CMA,79.0,3.0,1338.0
DDD,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Fail,200.0,0.0,36.0,TMA,200.0,15.0,1628.0
FFF,F,Scotland,Lower Than A Level,90-100%,0-35,0,60,N,Fail,143.0,0.0,73.0,CMA,222.0,0.0,1389.0
DDD,M,Wales,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,84.0,0.0,22.0,TMA,81.0,12.5,1270.0
EEE,M,London Region,A Level or Equivalent,0-10%,0-35,0,30,N,Fail,53.0,0.0,22.0,TMA,32.0,9.0,1591.0
EEE,M,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,28.0,0.0,66.0,TMA,33.0,16.0,1608.0
