n_student,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_submitted,is_banked,score,assessment_type,date,weight,sum_click
1,BBB,F,London Region,No Formal quals,50-60%,35-55,0,120,N,Fail,85.0,0.0,78.0,TMA,82.0,18.0,265.0
2,DDD,F,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,87.0,0.0,32.0,TMA,88.0,17.5,985.0
3,CCC,M,North Western Region,Lower Than A Level,10-20,0-35,0,80,N,Fail,21.0,0.0,67.0,CMA,18.0,2.0,3753.0
4,BBB,F,London Region,Lower Than A Level,10-20,35-55,2,120,N,Fail,-1.0,1.0,60.0,CMA,47.0,1.0,1153.0
5,FFF,M,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,60.0,0.0,76.0,CMA,222.0,0.0,1414.0
6,FFF,M,Wales,Lower Than A Level,20-30%,0-35,1,60,Y,Fail,236.0,0.0,60.0,CMA,236.0,0.0,868.0
7,EEE,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,152.0,0.0,51.0,TMA,131.0,28.0,567.0
8,DDD,F,North Western Region,HE Qualification,60-70%,35-55,2,150,N,Fail,173.0,0.0,28.0,CMA,170.0,3.0,955.0
9,CCC,M,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,20.0,0.0,20.0,CMA,18.0,2.0,1573.0
10,CCC,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,32.0,0.0,96.0,TMA,33.0,16.0,1884.0
11,DDD,F,London Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,81.0,0.0,58.0,CMA,79.0,3.0,1338.0
12,DDD,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Fail,200.0,0.0,36.0,TMA,200.0,15.0,1628.0
13,FFF,F,Scotland,Lower Than A Level,90-100%,0-35,0,60,N,Fail,143.0,0.0,73.0,CMA,222.0,0.0,1389.0
14,DDD,M,Wales,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,84.0,0.0,22.0,TMA,81.0,12.5,1270.0
15,EEE,M,London Region,A Level or Equivalent,0-10%,0-35,0,30,N,Fail,53.0,0.0,22.0,TMA,32.0,9.0,1591.0
16,EEE,M,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,28.0,0.0,66.0,TMA,33.0,16.0,1608.0
17,BBB,F,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,108.0,0.0,66.0,TMA,110.0,20.0,1088.0
18,FFF,M,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,73.0,0.0,80.0,TMA,47.0,12.5,1954.0
19,DDD,F,Ireland,A Level or Equivalent,30-40%,35-55,1,60,N,Fail,22.0,0.0,76.0,TMA,25.0,10.0,694.0
20,BBB,F,North Region,Lower Than A Level,50-60%,35-55,1,180,N,Fail,95.0,0.0,100.0,CMA,89.0,1.0,1352.0
21,FFF,M,Ireland,Lower Than A Level,30-40%,0-35,0,90,N,Fail,145.0,0.0,64.0,CMA,227.0,0.0,3550.0
22,CCC,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,1,250,N,Fail,244.0,0.0,34.0,Exam,128.2432009680228,100.0,947.0
23,FFF,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,Y,Fail,223.0,0.0,71.0,CMA,222.0,0.0,3684.0
24,BBB,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,151.0,0.0,78.0,TMA,152.0,18.0,311.0
25,FFF,M,South West Region,Lower Than A Level,70-80%,35-55,0,120,N,Fail,65.0,0.0,83.0,CMA,236.0,0.0,2665.0
26,FFF,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Fail,227.0,0.0,74.0,CMA,236.0,0.0,1373.0
27,GGG,F,London Region,Lower Than A Level,20-30%,0-35,0,30,Y,Fail,201.0,0.0,60.0,CMA,229.0,0.0,626.0
28,FFF,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,Fail,22.0,0.0,76.0,TMA,19.0,12.5,401.0
29,CCC,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,30,N,Fail,104.0,0.0,89.0,TMA,87.0,25.0,1764.0
30,BBB,M,London Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,187.0,0.0,63.0,TMA,187.0,18.0,352.0
31,FFF,M,North Region,A Level or Equivalent,10-20,35-55,1,60,N,Fail,180.0,0.0,54.0,TMA,173.0,25.0,3740.0
32,FFF,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,1,150,N,Fail,82.0,0.0,52.0,CMA,222.0,0.0,3323.0
33,CCC,M,West Midlands Region,Lower Than A Level,80-90%,0-35,0,60,N,Fail,88.0,0.0,82.0,TMA,88.0,17.5,2005.0
