n_student,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_submitted,is_banked,score,assessment_type,date,weight,sum_click
1,FFF,M,South Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,89.0,0.0,44.0,TMA,89.0,25.0,1815.0
2,FFF,M,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Fail,50.0,0.0,70.0,TMA,52.0,12.5,3493.0
3,FFF,M,Wales,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,227.0,0.0,86.0,CMA,236.0,0.0,4877.0
4,EEE,M,Wales,HE Qualification,90-100%,0-35,0,30,N,Pass,124.0,0.0,80.0,TMA,124.0,28.0,3874.0
5,FFF,M,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Pass,220.0,0.0,70.0,CMA,222.0,0.0,2653.0
6,EEE,M,Scotland,A Level or Equivalent,70-80%,0-35,0,40,N,Pass,32.0,0.0,93.0,TMA,33.0,16.0,1604.0
7,CCC,M,South West Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass,150.0,0.0,92.0,TMA,152.0,28.0,7987.0
8,FFF,M,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,95.0,0.0,81.0,TMA,96.0,25.0,5046.0
9,GGG,F,South West Region,A Level or Equivalent,60-70%,0-35,0,30,N,Pass,42.0,0.0,83.0,TMA,61.0,0.0,1971.0
10,DDD,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,57.0,0.0,51.0,TMA,53.0,12.5,834.0
11,FFF,M,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,18.0,0.0,82.0,TMA,19.0,12.5,2835.0
12,FFF,M,North Region,Lower Than A Level,40-50%,35-55,1,180,N,Pass,46.0,0.0,54.0,TMA,47.0,12.5,9679.0
13,GGG,F,South West Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail,210.0,0.0,60.0,CMA,222.0,0.0,241.0
14,BBB,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,56.0,0.0,80.0,CMA,54.0,1.0,524.0
15,BBB,F,East Midlands Region,Lower Than A Level,80-90%,0-35,0,120,N,Pass,151.0,0.0,63.0,TMA,152.0,35.0,1213.0
16,CCC,M,North Region,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,250.0,0.0,90.0,Exam,128.2432009680228,100.0,444.0
17,CCC,F,Yorkshire Region,HE Qualification,0-10%,35-55,0,120,N,Pass,147.0,0.0,79.0,CMA,144.0,8.0,2197.0
18,AAA,M,Ireland,Lower Than A Level,30-40%,0-35,0,120,N,Pass,26.0,0.0,59.0,TMA,19.0,10.0,164.0
19,CCC,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,30,N,Fail,119.0,0.0,80.0,TMA,123.0,20.0,1902.0
20,CCC,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,120,N,Pass,234.0,0.0,77.0,CMA,241.0,0.0,5100.0
21,BBB,F,Wales,HE Qualification,30-40%,0-35,0,120,N,Pass,160.0,0.0,83.0,TMA,159.0,18.0,495.0
22,EEE,M,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,123.0,0.0,96.0,TMA,124.0,28.0,3792.0
23,DDD,M,Scotland,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,163.0,0.0,67.0,TMA,165.0,20.0,3032.0
24,FFF,M,North Region,Lower Than A Level,30-40%,0-35,0,120,N,Fail,100.0,0.0,41.0,TMA,94.0,25.0,589.0
25,FFF,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,122.0,0.0,68.0,CMA,236.0,0.0,3212.0
26,FFF,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,20.0,0.0,100.0,CMA,18.0,2.0,8229.0
27,DDD,F,Yorkshire Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,196.0,0.0,97.0,TMA,207.0,20.0,9486.0
28,FFF,M,South Region,HE Qualification,60-70%,35-55,0,90,N,Pass,174.0,0.0,98.0,TMA,166.0,25.0,3269.0
29,FFF,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,Pass,23.0,0.0,99.0,CMA,227.0,0.0,6781.0
30,FFF,M,Wales,Lower Than A Level,30-40%,35-55,0,60,N,Pass,44.0,0.0,100.0,CMA,236.0,0.0,5712.0
31,AAA,M,Scotland,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,60.0,0.0,65.0,TMA,54.0,20.0,3501.0
32,FFF,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,80.0,0.0,91.0,CMA,222.0,0.0,3997.0
33,CCC,M,London Region,A Level or Equivalent,10-20,0-35,0,150,N,Pass,206.0,0.0,96.0,TMA,207.0,22.0,3101.0
34,FFF,M,Scotland,Lower Than A Level,80-90%,35-55,0,60,N,Pass,227.0,0.0,85.0,CMA,236.0,0.0,8934.0
35,DDD,M,South East Region,No Formal quals,20-30%,0-35,0,60,N,Pass,245.0,0.0,50.0,Exam,128.2432009680228,100.0,2557.0
36,FFF,M,North Western Region,A Level or Equivalent,20-30%,0-35,0,150,N,Pass,22.0,0.0,76.0,TMA,24.0,12.5,3019.0
37,FFF,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,90,N,Pass,47.0,0.0,72.0,TMA,47.0,12.5,2367.0
38,CCC,F,South West Region,HE Qualification,40-50%,35-55,0,90,N,Pass,244.0,0.0,74.0,Exam,128.2432009680228,100.0,4761.0
39,CCC,M,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,52.0,0.0,88.0,TMA,53.0,12.5,5101.0
