n_student,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_submitted,is_banked,score,assessment_type,date,weight,sum_click
362,CCC,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,90,Y,156,0.0,64.0,Exam,196,50.0,1985
74,AAA,F,Scotland,No Formal quals,70-80%,55<=,0,60,N,60,0.0,91.0,Exam,113,12.5,5158
375,DDD,F,East Anglian Region,HE Qualification,70-80%,0-35,0,120,N,68,0.0,71.0,CMA,91,12.5,1027
156,CCC,F,East Anglian Region,Post Graduate Qualification,30-40%,55<=,1,120,N,165,0.0,60.0,Exam,74,12.5,5297
105,CCC,M,Ireland,HE Qualification,10-20,35-55,1,120,N,233,0.0,81.0,CMA,65,50.0,7821
395,CCC,F,East Anglian Region,HE Qualification,70-80%,35-55,0,60,N,62,0.0,96.0,Exam,205,25.0,2484
378,AAA,M,South Region,HE Qualification,80-90%,35-55,1,120,N,210,0.0,60.0,TMA,55,50.0,9955
125,AAA,F,South East Region,No Formal quals,0-10%,35-55,0,60,N,164,0.0,71.0,CMA,237,28.0,1870
69,BBB,F,Yorkshire Region,No Formal quals,70-80%,0-35,1,60,N,54,0.0,67.0,TMA,220,50.0,7834
451,AAA,M,South Region,A Level or Equivalent,60-70%,35-55,4,30,N,13,0.0,50.0,CMA,66,0.0,439
10,EEE,F,North Western Region,Post Graduate Qualification,0-10%,0-35,1,120,N,241,0.0,60.0,CMA,116,28.0,9591
195,GGG,M,South Region,Post Graduate Qualification,30-40%,55<=,1,120,N,174,0.0,64.0,Exam,232,50.0,4630
407,AAA,F,East Anglian Region,HE Qualification,90-100%,55<=,2,60,N,10,0.0,29.0,CMA,14,0.0,892
85,DDD,F,Ireland,HE Qualification,80-90%,55<=,0,120,Y,94,0.0,92.0,CMA,65,28.0,1732
372,CCC,F,South East Region,A Level or Equivalent,80-90%,55<=,0,90,N,109,0.0,67.0,Exam,191,28.0,1805
389,GGG,F,East Anglian Region,No Formal quals,30-40%,0-35,1,60,Y,160,0.0,100.0,Exam,42,28.0,4647
