n_student,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_submitted,is_banked,score,assessment_type,date,weight,sum_click
1,AAA,M,South Region,Post Graduate Qualification,20-30%,55<=,1,30,N,44,0.0,52.0,Exam,263,50.0,4777
2,GGG,F,South Region,Lower Than A Level,40-50%,0-35,0,60,Y,213,0.0,79.0,Exam,78,50.0,2735
3,DDD,M,North Region,Lower Than A Level,80-90%,55<=,2,30,N,58,0.0,78.0,Exam,189,28.0,8273
4,AAA,F,Scotland,Post Graduate Qualification,30-40%,35-55,0,120,Y,131,0.0,87.0,CMA,46,12.5,8278
5,CCC,M,South East Region,HE Qualification,50-60%,0-35,2,30,Y,103,0.0,56.0,Exam,188,50.0,6368
6,DDD,M,North Region,HE Qualification,40-50%,55<=,0,120,N,194,0.0,62.0,Exam,255,12.5,821
7,DDD,F,Yorkshire Region,HE Qualification,20-30%,55<=,2,120,N,156,0.0,40.0,Exam,221,12.5,7525
8,AAA,M,West Midlands Region,Post Graduate Qualification,90-100%,35-55,1,30,Y,97,0.0,59.0,TMA,240,28.0,162
9,EEE,F,West Midlands Region,Lower Than A Level,10-20,0-35,2,60,N,225,0.0,80.0,TMA,268,28.0,7777
10,CCC,F,Scotland,Post Graduate Qualification,60-70%,0-35,1,90,Y,204,0.0,58.0,CMA,0,0.0,1932
11,AAA,F,East Midlands Region,Post Graduate Qualification,50-60%,0-35,1,30,Y,78,0.0,75.0,TMA,33,50.0,3535
12,CCC,M,East Midlands Region,HE Qualification,40-50%,35-55,2,90,N,123,0.0,62.0,CMA,78,50.0,5956
13,CCC,M,Wales,A Level or Equivalent,0-10%,0-35,0,30,Y,217,0.0,70.0,TMA,235,50.0,3446
14,DDD,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,90,Y,3,0.0,48.0,Exam,97,25.0,2790
15,GGG,F,Scotland,HE Qualification,90-100%,35-55,3,60,N,89,0.0,66.0,TMA,81,12.5,2707
16,CCC,M,South East Region,A Level or Equivalent,80-90%,35-55,0,60,N,103,0.0,20.0,CMA,191,28.0,7959
17,BBB,F,South Region,A Level or Equivalent,10-20,55<=,3,30,Y,118,0.0,62.0,TMA,252,50.0,3933
18,DDD,F,East Midlands Region,No Formal quals,30-40%,0-35,0,120,N,132,0.0,41.0,Exam,37,0.0,3385
19,EEE,F,South East Region,Lower Than A Level,90-100%,0-35,0,90,N,95,0.0,83.0,CMA,13,50.0,6636
20,GGG,M,London Region,A Level or Equivalent,90-100%,35-55,1,120,N,142,0.0,77.0,Exam,208,12.5,922
21,BBB,M,East Anglian Region,HE Qualification,80-90%,35-55,3,120,N,27,0.0,72.0,Exam,88,12.5,8089
22,BBB,M,Ireland,No Formal quals,70-80%,0-35,0,120,Y,232,0.0,88.0,CMA,55,28.0,9774
23,EEE,F,South Region,Lower Than A Level,80-90%,35-55,3,60,Y,16,0.0,51.0,Exam,93,25.0,564
24,GGG,F,Yorkshire Region,Post Graduate Qualification,70-80%,0-35,1,30,Y,58,0.0,91.0,Exam,92,28.0,3258
25,DDD,F,London Region,HE Qualification,70-80%,55<=,1,30,N,89,0.0,79.0,TMA,84,50.0,2500
26,FFF,M,London Region,A Level or Equivalent,50-60%,35-55,3,60,N,198,0.0,61.0,Exam,244,0.0,4566
27,GGG,F,Scotland,A Level or Equivalent,50-60%,0-35,1,60,N,25,0.0,82.0,Exam,21,28.0,9179
28,EEE,F,East Anglian Region,HE Qualification,20-30%,35-55,2,30,N,24,0.0,48.0,Exam,121,25.0,6881
29,BBB,F,Wales,A Level or Equivalent,40-50%,0-35,2,120,N,266,0.0,53.0,Exam,127,28.0,3636
30,DDD,F,Yorkshire Region,No Formal quals,40-50%,0-35,1,90,N,180,0.0,56.0,CMA,112,12.5,6030
31,GGG,M,East Midlands Region,Lower Than A Level,30-40%,35-55,2,90,N,67,0.0,57.0,TMA,129,50.0,223
32,FFF,M,South East Region,No Formal quals,40-50%,55<=,0,90,Y,48,0.0,49.0,Exam,131,50.0,6297
33,FFF,F,Scotland,A Level or Equivalent,50-60%,0-35,3,120,Y,174,0.0,83.0,Exam,84,50.0,350
34,CCC,M,East Midlands Region,Post Graduate Qualification,20-30%,0-35,0,30,N,51,1.0,61.0,CMA,80,50.0,7314
35,CCC,M,Scotland,Lower Than A Level,20-30%,0-35,3,60,N,101,0.0,70.0,Exam,68,50.0,1928
36,AAA,F,Scotland,Lower Than A Level,70-80%,55<=,1,30,N,215,0.0,56.0,CMA,147,50.0,7743
37,EEE,F,Scotland,HE Qualification,80-90%,55<=,0,120,Y,187,0.0,38.0,TMA,15,0.0,8540
38,GGG,M,East Anglian Region,HE Qualification,30-40%,35-55,1,60,Y,56,0.0,69.0,TMA,104,25.0,4732
39,GGG,F,Wales,Post Graduate Qualification,70-80%,55<=,1,120,N,46,0.0,36.0,Exam,164,50.0,1017
40,AAA,M,Scotland,Lower Than A Level,80-90%,35-55,3,90,N,158,0.0,64.0,Exam,200,25.0,2226
41,BBB,F,South West Region,Post Graduate Qualification,40-50%,35-55,3,90,Y,173,0.0,44.0,Exam,196,50.0,7206
42,BBB,M,Ireland,HE Qualification,70-80%,55<=,3,120,Y,241,0.0,95.0,CMA,184,28.0,7170
43,AAA,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,Y,240,0.0,79.0,Exam,264,50.0,6207
44,BBB,M,South Region,Lower Than A Level,40-50%,55<=,2,60,Y,4,0.0,67.0,Exam,99,12.5,2419
45,CCC,M,North Region,No Formal quals,80-90%,35-55,3,30,N,83,0.0,84.0,TMA,213,0.0,6240
46,GGG,M,South East Region,A Level or Equivalent,30-40%,55<=,3,90,Y,247,0.0,52.0,Exam,161,28.0,1893
47,AAA,F,Yorkshire Region,HE Qualification,80-90%,55<=,0,30,Y,53,0.0,73.0,TMA,156,28.0,5322
48,GGG,M,West Midlands Region,HE Qualification,70-80%,35-55,3,30,N,160,0.0,68.0,Exam,250,12.5,7718
49,FFF,M,Wales,No Formal quals,70-80%,0-35,0,120,Y,225,0.0,69.0,TMA,96,50.0,6878
50,CCC,F,South Region,No Formal quals,90-100%,35-55,1,120,Y,14,0.0,84.0,Exam,17,0.0,1125
51,DDD,F,London Region,Post Graduate Qualification,30-40%,55<=,3,30,Y,223,0.0,76.0,TMA,96,28.0,3117
52,CCC,M,North Western Region,Post Graduate Qualification,0-10%,0-35,3,90,N,60,0.0,69.0,CMA,0,0.0,4161
53,AAA,M,South West Region,A Level or Equivalent,40-50%,35-55,1,120,Y,121,0.0,40.0,TMA,215,28.0,4042
54,DDD,F,West Midlands Region,A Level or Equivalent,20-30%,35-55,1,30,N,45,0.0,51.0,TMA,131,50.0,4433
55,FFF,F,North Region,Lower Than A Level,30-40%,35-55,1,30,N,61,0.0,63.0,TMA,259,28.0,8638
56,AAA,F,South Region,Post Graduate Qualification,20-30%,0-35,3,30,Y,85,0.0,66.0,Exam,124,28.0,2658
57,EEE,F,West Midlands Region,HE Qualification,30-40%,55<=,2,30,Y,209,0.0,48.0,Exam,81,25.0,3483
58,GGG,F,South Region,Post Graduate Qualification,30-40%,35-55,2,30,Y,77,0.0,100.0,Exam,170,50.0,2944
59,FFF,M,South East Region,HE Qualification,80-90%,35-55,2,30,Y,201,0.0,88.0,CMA,58,12.5,7210
60,GGG,F,South West Region,No Formal quals,30-40%,35-55,3,120,N,222,0.0,74.0,CMA,31,12.5,7653
61,BBB,M,North Region,Post Graduate Qualification,90-100%,35-55,1,90,Y,221,0.0,66.0,TMA,160,50.0,8787
62,EEE,M,London Region,No Formal quals,0-10%,35-55,3,30,Y,2,0.0,62.0,CMA,105,12.5,1986
63,EEE,M,Scotland,A Level or Equivalent,70-80%,55<=,1,60,Y,5,0.0,51.0,TMA,104,50.0,1074
64,FFF,F,East Midlands Region,A Level or Equivalent,10-20,55<=,3,120,N,92,0.0,66.0,TMA,227,12.5,4305
65,EEE,M,London Region,Lower Than A Level,20-30%,35-55,3,120,Y,7,0.0,69.0,TMA,187,25.0,3007
66,DDD,M,Scotland,Post Graduate Qualification,70-80%,0-35,1,30,Y,234,0.0,46.0,CMA,69,12.5,969
67,EEE,F,North Western Region,No Formal quals,10-20,55<=,2,120,N,107,0.0,70.0,Exam,86,28.0,8772
68,GGG,M,East Anglian Region,HE Qualification,0-10%,0-35,1,30,N,160,0.0,63.0,CMA,55,50.0,2824
69,GGG,M,East Anglian Region,A Level or Equivalent,0-10%,55<=,0,90,Y,208,0.0,36.0,TMA,112,0.0,1211
70,AAA,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,90,Y,239,0.0,52.0,TMA,12,0.0,229
71,GGG,M,Wales,HE Qualification,20-30%,55<=,1,120,Y,49,0.0,59.0,CMA,17,50.0,4284
72,AAA,M,Ireland,No Formal quals,0-10%,35-55,3,120,Y,10,0.0,93.0,TMA,181,25.0,3185
73,GGG,M,Yorkshire Region,No Formal quals,10-20,55<=,0,60,Y,155,0.0,73.0,TMA,112,12.5,501
74,DDD,F,Yorkshire Region,Post Graduate Qualification,30-40%,35-55,0,120,N,69,0.0,45.0,CMA,228,25.0,48
75,AAA,F,East Anglian Region,Post Graduate Qualification,40-50%,35-55,3,60,N,168,0.0,72.0,CMA,170,0.0,3566
76,CCC,F,East Midlands Region,Lower Than A Level,60-70%,35-55,3,90,Y,67,0.0,42.0,CMA,188,50.0,3055
77,BBB,M,North Region,A Level or Equivalent,70-80%,35-55,2,90,Y,251,0.0,81.0,TMA,78,50.0,8880
78,FFF,M,South West Region,Post Graduate Qualification,80-90%,0-35,3,30,N,47,0.0,58.0,TMA,145,25.0,386
79,GGG,F,North Region,No Formal quals,70-80%,35-55,1,90,Y,183,0.0,64.0,Exam,181,25.0,969
80,EEE,M,South West Region,HE Qualification,80-90%,0-35,1,60,Y,186,0.0,85.0,Exam,249,12.5,9197
81,GGG,M,North Region,No Formal quals,10-20,0-35,2,120,Y,89,0.0,46.0,CMA,195,28.0,5820
82,EEE,F,Ireland,A Level or Equivalent,80-90%,35-55,0,30,Y,138,0.0,44.0,Exam,70,28.0,3052
83,BBB,F,Wales,No Formal quals,20-30%,0-35,0,60,Y,88,0.0,56.0,TMA,247,12.5,7397
84,BBB,M,Wales,Lower Than A Level,40-50%,55<=,3,120,N,18,0.0,81.0,Exam,145,28.0,2302
85,BBB,M,East Anglian Region,A Level or Equivalent,40-50%,35-55,1,30,Y,153,1.0,42.0,TMA,105,0.0,2283
86,EEE,M,North Western Region,HE Qualification,20-30%,0-35,0,90,Y,259,0.0,23.0,CMA,262,28.0,9799
87,GGG,F,Scotland,Lower Than A Level,90-100%,35-55,2,60,Y,107,0.0,58.0,CMA,69,12.5,4366
88,BBB,F,North Western Region,A Level or Equivalent,10-20,35-55,2,120,N,58,0.0,73.0,TMA,192,28.0,122
89,DDD,F,West Midlands Region,HE Qualification,90-100%,35-55,1,30,N,124,0.0,83.0,Exam,67,50.0,6799
90,AAA,F,Wales,Lower Than A Level,90-100%,0-35,2,30,N,106,0.0,58.0,CMA,51,25.0,9472
91,EEE,M,Wales,Lower Than A Level,70-80%,55<=,2,90,N,244,1.0,59.0,CMA,8,0.0,3727
92,EEE,F,London Region,A Level or Equivalent,0-10%,55<=,1,120,Y,246,0.0,82.0,Exam,250,50.0,8450
93,GGG,F,London Region,Post Graduate Qualification,70-80%,0-35,3,90,N,7,0.0,37.0,Exam,183,50.0,9139
94,EEE,F,Scotland,Lower Than A Level,0-10%,35-55,3,90,Y,140,0.0,59.0,TMA,178,12.5,4958
95,EEE,F,South East Region,Lower Than A Level,60-70%,0-35,2,120,Y,7,0.0,68.0,Exam,197,25.0,524
96,BBB,F,West Midlands Region,HE Qualification,80-90%,0-35,3,120,N,93,0.0,72.0,Exam,127,25.0,9079
97,GGG,M,North Western Region,No Formal quals,0-10%,0-35,3,120,N,38,0.0,57.0,Exam,19,0.0,8399
98,BBB,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,2,60,N,80,1.0,66.0,TMA,64,12.5,148
99,AAA,F,London Region,A Level or Equivalent,70-80%,0-35,3,120,N,186,0.0,28.0,TMA,181,0.0,8001
100,AAA,M,East Midlands Region,Post Graduate Qualification,10-20,35-55,2,30,N,83,0.0,55.0,CMA,240,28.0,437
101,BBB,F,South Region,Post Graduate Qualification,80-90%,0-35,0,90,Y,87,0.0,72.0,TMA,23,50.0,3749
102,AAA,F,London Region,A Level or Equivalent,60-70%,55<=,1,60,N,241,0.0,50.0,CMA,82,0.0,8186
103,GGG,M,Ireland,Post Graduate Qualification,0-10%,0-35,1,120,N,92,0.0,66.0,Exam,184,50.0,4453
104,FFF,M,South East Region,HE Qualification,60-70%,0-35,3,60,N,85,0.0,72.0,CMA,98,12.5,5336
105,BBB,F,West Midlands Region,A Level or Equivalent,10-20,55<=,3,120,Y,43,0.0,60.0,CMA,61,28.0,4551
106,DDD,F,Scotland,Post Graduate Qualification,90-100%,35-55,3,60,N,136,0.0,68.0,Exam,21,12.5,2823
107,DDD,F,South Region,A Level or Equivalent,40-50%,35-55,1,90,Y,73,0.0,51.0,CMA,211,28.0,5728
108,EEE,M,West Midlands Region,No Formal quals,10-20,0-35,0,90,N,35,0.0,62.0,TMA,125,28.0,8677
109,AAA,F,North Western Region,Lower Than A Level,50-60%,55<=,0,30,N,100,0.0,74.0,TMA,41,50.0,8391
110,DDD,F,East Anglian Region,A Level or Equivalent,10-20,35-55,1,30,Y,155,0.0,67.0,TMA,97,12.5,1982
111,EEE,F,Ireland,Lower Than A Level,60-70%,0-35,0,120,N,254,0.0,56.0,TMA,30,12.5,6996
