code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_submitted,is_banked,score,assessment_type,date,weight,sum_click,n_student
5,1,8,2,3,0,-0.3296180874040059,-0.4440590780579271,0,-0.4315888430463564,0,-1.75613242066373,2,-0.5791519293208376,0.6037554348689503,-0.2612651247472853,100019
5,1,6,2,2,0,-0.3296180874040059,-0.4440590780579271,0,-0.9795751534295344,0,-0.343776051353168,2,-1.064748707519119,-0.0537814191532522,0.3940601056884371,100047
5,1,10,0,6,0,-0.3296180874040059,-0.4440590780579271,0,1.507439639847966,0,0.525366329761024,0,1.3501109462236862,-0.7113182731754548,0.9345667319834547,100008
4,1,10,1,9,0,-0.3296180874040059,-1.2622991892120947,0,0.0601937431949572,0,0.199437936843202,2,-0.1198036256197604,0.761564279834279,0.5428556437075135,100013
5,1,6,2,5,0,-0.3296180874040059,1.1924211442504082,0,1.4090831225997031,0,-0.343776051353168,0,1.1663716247432554,-0.7113182731754548,0.0660069510007095,100041
4,1,6,0,7,0,-0.3296180874040059,-0.9895524854940388,0,-1.2324919120679243,0,0.9056161214984833,2,-1.3141092152425609,0.1303288999729644,-0.3436689528890836,100053
2,1,9,0,3,0,-0.3296180874040059,-1.2622991892120947,0,0.4255179501170759,0,0.8512947226788461,2,0.2476750173411012,0.761564279834279,2.14914448326778,100056
5,1,3,0,1,1,-0.3296180874040059,-0.4440590780579271,0,-0.3472832568335598,0,0.253759335662839,2,-0.4872822685806221,0.6037554348689503,1.000567902390867,100044
6,0,9,0,6,0,-0.3296180874040059,-1.2622991892120947,0,-1.0919826017132632,0,0.362402133302113,2,-0.9466305722816992,-0.7113182731754548,-0.2003409674481359,100043
3,1,1,0,7,0,-0.3296180874040059,-0.4440590780579271,0,-0.8812186361812717,0,-1.3758826289262711,2,-1.0516244702705169,-0.0537814191532522,-0.6443843446861672,100068
5,1,12,2,3,0,-0.3296180874040059,-0.4440590780579271,0,-1.42920494656445,0,0.3080807344824761,2,-1.4978485367229917,-0.0537814191532522,0.1370851345163838,100025
5,1,4,2,4,1,1.8759390456584504,2.8289013665587435,0,-1.035778877571399,0,-1.21291843246736,2,-1.13036989376213,-0.0537814191532522,2.809937266281631,100009
6,0,9,0,2,0,-0.3296180874040059,-1.2622991892120947,0,1.268573812245042,0,-0.886990039549538,0,1.1663716247432554,-0.7113182731754548,-0.8759742503169082,100053
1,0,12,0,7,0,-0.3296180874040059,0.3741810330962405,0,-0.8952695672167378,0,0.199437936843202,0,-1.0385002330219146,-0.6587153248536786,-0.7654515803447334,100058
1,0,1,2,8,0,-0.3296180874040059,1.1924211442504082,0,0.439568881152542,0,-0.724025843090627,2,0.2476750173411012,1.1297849180867126,-0.4963698856068235,100047
2,1,4,0,3,0,-0.3296180874040059,2.010661255404576,0,1.830611053663686,0,0.7426519250395721,1,-0.0641148494219308,4.548976559002166,-0.7966947379340408,100086
2,0,12,1,0,1,-0.3296180874040059,1.1924211442504082,0,0.3833651570106776,0,0.145116538023565,0,0.1426811193522836,-0.2904946866012451,-0.1120790472583426,100035
0,1,2,2,3,0,-0.3296180874040059,1.1924211442504082,0,-1.316797498280721,0,-0.9413114383691752,2,-1.4978485367229917,-0.1852887899576927,-0.9060457894966166,100049
2,1,1,0,2,1,-0.3296180874040059,-1.2622991892120947,0,-0.0100609119823733,0,0.199437936843202,2,-0.1329278628683626,0.3407406932600693,-0.2272881908689135,100029
2,1,12,2,0,0,-0.3296180874040059,1.1924211442504082,0,1.6057961570962285,0,0.036473740384291,0,1.4157321324666972,-0.7113182731754548,1.0216570337636492,100064
1,0,10,1,3,0,-0.3296180874040059,1.1924211442504082,0,0.5660272604717369,0,0.362402133302113,2,0.3395446780813166,0.2355347966165168,-0.7767772249708573,100095
4,1,8,2,9,0,-0.3296180874040059,-0.4440590780579271,0,0.046142812159491,0,1.068580317957394,2,-0.1198036256197604,0.761564279834279,0.5108314071784734,100093
3,1,6,0,9,1,-0.3296180874040059,-0.4440590780579271,0,0.6081800535781352,0,-0.506740247812079,2,0.4182901015729298,0.3407406932600693,0.2140214100800532,100082
5,1,4,2,3,0,-0.3296180874040059,1.1924211442504082,0,-0.2770286016562293,0,-1.919096617122641,2,-0.5135307430778265,0.6037554348689503,-0.7400665148034211,100069
5,0,11,0,7,0,-0.3296180874040059,1.1924211442504082,0,0.0320918811240249,0,-0.452418848992442,0,1.3501109462236862,-0.7113182731754548,0.2843185146559949,100009
5,1,0,0,4,0,-0.3296180874040059,-0.4440590780579271,0,-1.4011030844935175,0,1.2858659132359422,0,-1.510972773971594,-0.6061123765319024,2.2436550349754345,100046
3,0,12,0,8,1,-0.3296180874040059,-0.4440590780579271,0,1.0718607777485167,0,1.1229017167770312,2,0.9695080660142223,0.3407406932600693,2.734563148597427,100070
